City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,sao felix do xingu,-6.6447,-51.995,305.89,49,45,2.29,BR,1715276860
333,okha,53.5739,142.9478,276.62,93,100,2.68,RU,1715276961
334,le port,-20.9373,55.2919,298.13,75,20,2.37,RE,1715276961
335,pakuranga,-36.8833,174.9167,281.59,67,5,2.24,NZ,1715276961
336,iquique,-20.2208,-70.1431,292.17,75,4,0.49,CL,1715276961
337,letlhakane,-21.4167,25.5833,292.35,26,0,4.13,BW,1715276961
338,cockburn town,21.4612,-71.1419,298.53,73,69,5.32,TC,1715276769
339,greenville,35.6127,-77.3663,299.33,70,100,6.38,US,1715276900
340,ornskoldsvik,63.2909,18.7153,276.68,100,100,1.54,SE,1715276962
341,rehoboth,-23.3167,17.0833,298.0,32,51,6.14,NA,1715276962
342,akureyri,65.6835,-18.0878,282.11,40,40,4.63,IS,1715276962
343,saint-pierre,-21.3393,55.4781,296.97,73,0,7.2,RE,1715276962
344,saint-louis,16.3333,-15.0,318.95,5,6,3.73,SN,1715276962
345,san patricio,28.017,-97.5169,306.2,52,85,1.03,US,1715276962
346,port augusta,-32.5,137.7667,286.85,69,7,2.71,AU,1715276962
347,tadine,-21.55,167.8833,294.14,58,100,5.87,NC,1715276963
348,cedeira,43.6797,-8.0209,295.37,86,100,7.01,ES,1715276963
349,maxcanu,20.5833,-89.9833,314.6,18,80,3.36,MX,1715276963
350,novi sanzhary,49.3439,34.3108,280.35,54,36,3.69,UA,1715276963
351,luderitz,-26.6481,15.1594,288.46,80,19,6.3,NA,1715276963
352,al ghayzah,16.2079,52.176,303.81,72,49,5.2,YE,1715276963
353,tarawa,1.419,172.984,299.2,100,100,3.09,KI,1715276963
354,zmeinogorsk,51.1567,82.195,288.96,61,100,2.23,RU,1715276963
355,afif,23.9065,42.9172,304.04,22,40,4.41,SA,1715276963
356,pitimbu,-7.4706,-34.8086,301.48,80,18,7.52,BR,1715276964
357,quibdo,5.6947,-76.6611,303.34,74,75,0.0,CO,1715276964
358,nabire,-3.3667,135.4833,298.04,95,94,1.32,ID,1715276964
359,brigantine,39.4101,-74.3646,292.67,78,96,1.34,US,1715276964
360,gray,35.4167,-100.802,296.04,20,0,7.46,US,1715276964
361,mindelo,16.8901,-24.9804,298.9,65,75,10.29,CV,1715276964
362,navoloki,57.4657,41.9634,274.48,57,100,5.49,RU,1715276964
363,madisonville,37.3281,-87.4989,298.08,72,50,2.68,US,1715276964
